Province,Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Mortality rate,Daily mortality rate
NU,2020-02-25,0,0,0,0,0,0,0.0,0.0
NU,2020-02-26,0,0,0,0,0,0,0.0,0.0
NT,2020-02-26,0,0,0,0,0,0,0.0,0.0
PE,2020-02-26,0,0,0,0,0,0,0.0,0.0
NU,2020-02-27,0,0,0,0,0,0,0.0,0.0
PE,2020-02-27,0,0,0,0,0,0,0.0,0.0
NT,2020-02-27,0,0,0,0,0,0,0.0,0.0
NU,2020-02-28,0,0,0,0,0,0,0.0,0.0
NT,2020-02-28,0,0,0,0,0,0,0.0,0.0
PE,2020-02-28,0,0,0,0,0,0,0.0,0.0
NU,2020-02-29,0,0,0,0,0,0,0.0,0.0
NT,2020-02-29,0,0,0,0,0,0,0.0,0.0
PE,2020-02-29,0,0,0,0,0,0,0.0,0.0
PE,2020-03-01,0,0,0,0,0,0,0.0,0.0
NT,2020-03-01,0,0,0,0,0,0,0.0,0.0
NU,2020-03-01,0,0,0,0,0,0,0.0,0.0
PE,2020-03-02,0,0,0,0,0,0,0.0,0.0
NT,2020-03-02,0,0,0,0,0,0,0.0,0.0
NU,2020-03-02,0,0,0,0,0,0,0.0,0.0
NU,2020-03-03,0,0,0,0,0,0,0.0,0.0
PE,2020-03-03,0,0,0,0,0,0,0.0,0.0
NT,2020-03-03,0,0,0,0,0,0,0.0,0.0
NT,2020-03-04,0,0,0,0,0,0,0.0,0.0
PE,2020-03-04,0,0,0,0,0,0,0.0,0.0
NU,2020-03-04,0,0,0,0,0,0,0.0,0.0
NU,2020-03-05,0,0,0,0,0,0,0.0,0.0
PE,2020-03-05,0,0,0,0,0,0,0.0,0.0
NT,2020-03-05,0,0,0,0,0,0,0.0,0.0
NU,2020-03-06,0,0,0,0,0,0,0.0,0.0
NT,2020-03-06,0,0,0,0,0,0,0.0,0.0
PE,2020-03-06,0,0,0,0,0,0,0.0,0.0
NU,2020-03-07,0,0,0,0,0,0,0.0,0.0
PE,2020-03-07,0,0,0,0,0,0,0.0,0.0
NT,2020-03-07,0,0,0,0,0,0,0.0,0.0
NT,2020-03-08,0,0,0,0,0,0,0.0,0.0
BC,2020-03-08,26,4,1,1,0,0,3.846,25.0
NU,2020-03-08,0,0,0,0,0,0,0.0,0.0
NB,2020-03-08,0,0,0,0,0,0,0.0,0.0
PE,2020-03-08,0,0,0,0,0,0,0.0,0.0
AB,2020-03-08,3,1,0,0,0,0,0.0,0.0
NT,2020-03-09,0,0,0,0,0,0,0.0,0.0
NU,2020-03-09,0,0,0,0,0,0,0.0,0.0
BC,2020-03-09,29,3,1,0,0,0,3.448,0.0
PE,2020-03-09,0,0,0,0,0,0,0.0,0.0
NB,2020-03-09,0,0,0,0,0,0,0.0,0.0
AB,2020-03-09,7,4,0,0,4,4,0.0,0.0
NB,2020-03-10,0,0,0,0,0,0,0.0,0.0
NU,2020-03-10,0,0,0,0,0,0,0.0,0.0
PE,2020-03-10,0,0,0,0,0,0,0.0,0.0
NT,2020-03-10,0,0,0,0,0,0,0.0,0.0
BC,2020-03-10,39,10,1,0,0,0,2.564,0.0
AB,2020-03-10,16,9,0,0,5,1,0.0,0.0
NU,2020-03-11,0,0,0,0,0,0,0.0,0.0
PE,2020-03-11,0,0,0,0,0,0,0.0,0.0
BC,2020-03-11,55,16,1,0,0,0,1.818,0.0
NT,2020-03-11,0,0,0,0,0,0,0.0,0.0
NB,2020-03-11,0,0,0,0,0,0,0.0,0.0
AB,2020-03-11,23,7,0,0,5,0,0.0,0.0
PE,2020-03-12,0,0,0,0,0,0,0.0,0.0
NU,2020-03-12,0,0,0,0,0,0,0.0,0.0
NT,2020-03-12,0,0,0,0,0,0,0.0,0.0
NB,2020-03-12,1,1,0,0,0,0,0.0,0.0
BC,2020-03-12,63,8,1,0,0,0,1.587,0.0
AB,2020-03-12,26,3,0,0,5,0,0.0,0.0
NB,2020-03-13,1,0,0,0,0,0,0.0,0.0
NT,2020-03-13,0,0,0,0,0,0,0.0,0.0
PE,2020-03-13,0,0,0,0,0,0,0.0,0.0
BC,2020-03-13,79,16,1,0,0,0,1.266,0.0
NU,2020-03-13,0,0,0,0,0,0,0.0,0.0
AB,2020-03-13,34,8,0,0,7,2,0.0,0.0
PE,2020-03-14,0,0,0,0,0,0,0.0,0.0
AB,2020-03-14,56,22,0,0,9,2,0.0,0.0
BC,2020-03-14,107,28,1,0,0,0,0.935,0.0
NT,2020-03-14,0,0,0,0,0,0,0.0,0.0
NB,2020-03-14,2,1,0,0,0,0,0.0,0.0
NU,2020-03-14,0,0,0,0,0,0,0.0,0.0
MB,2020-03-14,2,2,0,0,0,0,0.0,0.0
MB,2020-03-15,3,1,0,0,0,0,0.0,0.0
NS,2020-03-15,3,3,0,0,0,0,0.0,0.0
NU,2020-03-15,0,0,0,0,0,0,0.0,0.0
NB,2020-03-15,6,4,0,0,0,0,0.0,0.0
NT,2020-03-15,0,0,0,0,0,0,0.0,0.0
AB,2020-03-15,67,11,0,0,9,0,0.0,0.0
BC,2020-03-15,136,29,1,0,0,0,0.735,0.0
PE,2020-03-15,1,1,0,0,0,0,0.0,0.0
AB,2020-03-16,91,24,0,0,9,0,0.0,0.0
PE,2020-03-16,1,0,0,0,0,0,0.0,0.0
NS,2020-03-16,5,2,0,0,0,0,0.0,0.0
NT,2020-03-16,0,0,0,0,0,0,0.0,0.0
MB,2020-03-16,3,0,0,0,0,0,0.0,0.0
NU,2020-03-16,0,0,0,0,0,0,0.0,0.0
BC,2020-03-16,182,46,4,3,6,6,2.198,6.522
NB,2020-03-16,7,1,0,0,0,0,0.0,0.0
NB,2020-03-17,8,1,0,0,0,0,0.0,0.0
PE,2020-03-17,1,0,0,0,0,0,0.0,0.0
NS,2020-03-17,7,2,0,0,0,0,0.0,0.0
NT,2020-03-17,0,0,0,0,0,0,0.0,0.0
BC,2020-03-17,232,50,7,3,7,1,3.017,6.0
AB,2020-03-17,102,11,0,0,10,1,0.0,0.0
MB,2020-03-17,6,3,0,0,0,0,0.0,0.0
NU,2020-03-17,0,0,0,0,0,0,0.0,0.0
NS,2020-03-18,12,5,0,0,0,0,0.0,0.0
MB,2020-03-18,7,1,0,0,0,0,0.0,0.0
BC,2020-03-18,280,48,7,0,13,6,2.5,0.0
NT,2020-03-18,0,0,0,0,0,0,0.0,0.0
AB,2020-03-18,131,29,0,0,12,2,0.0,0.0
PE,2020-03-18,1,0,0,0,0,0,0.0,0.0
NB,2020-03-18,11,3,0,0,0,0,0.0,0.0
NU,2020-03-18,0,0,0,0,0,0,0.0,0.0
YT,2020-03-19,2,2,0,0,0,0,0.0,0.0
BC,2020-03-19,336,56,8,1,17,4,2.381,1.786
PE,2020-03-19,2,1,0,0,0,0,0.0,0.0
AB,2020-03-19,163,32,1,1,17,5,0.613,3.125
NT,2020-03-19,0,0,0,0,0,0,0.0,0.0
MB,2020-03-19,14,7,0,0,0,0,0.0,0.0
NS,2020-03-19,15,3,0,0,1,1,0.0,0.0
NB,2020-03-19,11,0,0,0,0,0,0.0,0.0
NU,2020-03-19,0,0,0,0,0,0,0.0,0.0
NB,2020-03-20,11,0,0,0,0,0,0.0,0.0
PE,2020-03-20,2,0,0,0,0,0,0.0,0.0
NT,2020-03-20,0,0,0,0,0,0,0.0,0.0
NS,2020-03-20,16,1,0,0,1,0,0.0,0.0
NU,2020-03-20,0,0,0,0,0,0,0.0,0.0
BC,2020-03-20,399,63,9,1,22,5,2.256,1.587
YT,2020-03-20,2,0,0,0,0,0,0.0,0.0
AB,2020-03-20,209,46,1,0,19,2,0.478,0.0
MB,2020-03-20,15,1,0,0,0,0,0.0,0.0
BC,2020-03-21,472,73,10,1,27,5,2.119,1.37
NU,2020-03-21,0,0,0,0,0,0,0.0,0.0
MB,2020-03-21,16,1,0,0,0,0,0.0,0.0
PE,2020-03-21,2,0,0,0,0,0,0.0,0.0
YT,2020-03-21,2,0,0,0,0,0,0.0,0.0
AB,2020-03-21,244,35,1,0,20,1,0.41,0.0
NB,2020-03-21,17,6,0,0,0,0,0.0,0.0
NS,2020-03-21,21,5,0,0,1,0,0.0,0.0
NT,2020-03-21,1,1,0,0,0,0,0.0,0.0
NU,2020-03-22,0,0,0,0,0,0,0.0,0.0
NT,2020-03-22,1,0,0,0,0,0,0.0,0.0
YT,2020-03-22,2,0,0,0,0,0,0.0,0.0
NB,2020-03-22,17,0,0,0,0,0,0.0,0.0
BC,2020-03-22,524,52,10,0,27,0,1.908,0.0
PE,2020-03-22,3,1,0,0,0,0,0.0,0.0
MB,2020-03-22,16,0,0,0,0,0,0.0,0.0
AB,2020-03-22,291,47,1,0,23,3,0.344,0.0
NS,2020-03-22,29,8,0,0,2,1,0.0,0.0
NT,2020-03-23,1,0,0,0,0,0,0.0,0.0
MB,2020-03-23,17,1,0,0,0,0,0.0,0.0
NU,2020-03-23,0,0,0,0,0,0,0.0,0.0
BC,2020-03-23,578,54,13,3,33,6,2.249,5.556
AB,2020-03-23,344,53,1,0,24,1,0.291,0.0
NB,2020-03-23,17,0,0,0,0,0,0.0,0.0
PE,2020-03-23,3,0,0,0,0,0,0.0,0.0
YT,2020-03-23,3,1,0,0,0,0,0.0,0.0
NU,2020-03-24,0,0,0,0,0,0,0.0,0.0
YT,2020-03-24,4,1,0,0,0,0,0.0,0.0
NB,2020-03-24,18,1,0,0,0,0,0.0,0.0
PE,2020-03-24,3,0,0,0,0,0,0.0,0.0
NT,2020-03-24,1,0,0,0,0,0,0.0,0.0
BC,2020-03-24,640,62,13,0,59,26,2.031,0.0
NS,2020-03-24,52,10,0,0,1,0,0.0,0.0
MB,2020-03-24,20,3,0,0,0,0,0.0,0.0
AB,2020-03-24,412,68,2,1,26,2,0.485,1.471
PE,2020-03-25,5,2,0,0,0,0,0.0,0.0
NS,2020-03-25,69,17,0,0,1,0,0.0,0.0
YT,2020-03-25,4,0,0,0,0,0,0.0,0.0
NB,2020-03-25,26,8,0,0,0,0,0.0,0.0
NT,2020-03-25,1,0,0,0,0,0,0.0,0.0
AB,2020-03-25,475,63,2,0,33,7,0.421,0.0
NU,2020-03-25,0,0,0,0,0,0,0.0,0.0
BC,2020-03-25,721,81,14,1,64,5,1.942,1.235
MB,2020-03-25,21,1,0,0,0,0,0.0,0.0
NT,2020-03-26,1,0,0,0,0,0,0.0,0.0
AB,2020-03-26,526,51,2,0,37,4,0.38,0.0
NU,2020-03-26,0,0,0,0,0,0,0.0,0.0
NS,2020-03-26,74,5,0,0,2,1,0.0,0.0
PE,2020-03-26,9,4,0,0,0,0,0.0,0.0
BC,2020-03-26,789,68,14,0,66,2,1.774,0.0
NB,2020-03-26,33,7,0,0,0,0,0.0,0.0
YT,2020-03-26,5,1,0,0,0,0,0.0,0.0
MB,2020-03-26,27,6,0,0,0,0,0.0,0.0
NU,2020-03-27,0,0,0,0,0,0,0.0,0.0
NL,2020-03-27,102,20,0,0,1,1,0.0,0.0
AB,2020-03-27,611,85,2,0,37,0,0.327,0.0
NB,2020-03-27,45,12,0,0,0,0,0.0,0.0
NS,2020-03-27,91,17,0,0,2,0,0.0,0.0
YT,2020-03-27,6,1,0,0,0,0,0.0,0.0
PE,2020-03-27,11,2,0,0,0,0,0.0,0.0
MB,2020-03-27,36,9,1,1,0,0,2.778,11.111
NT,2020-03-27,1,0,0,0,0,0,0.0,0.0
BC,2020-03-27,850,61,16,2,73,7,1.882,3.279
NT,2020-03-28,1,0,0,0,0,0,0.0,0.0
PE,2020-03-28,11,0,0,0,0,0,0.0,0.0
NS,2020-03-28,112,21,0,0,3,1,0.0,0.0
NL,2020-03-28,120,18,0,0,2,1,0.0,0.0
MB,2020-03-28,63,27,1,0,0,0,1.587,0.0
NB,2020-03-28,51,6,0,0,0,0,0.0,0.0
AB,2020-03-28,665,54,2,0,38,1,0.301,0.0
YT,2020-03-28,7,1,0,0,0,0,0.0,0.0
NU,2020-03-28,0,0,0,0,0,0,0.0,0.0
BC,2020-03-28,916,66,17,1,81,8,1.856,1.515
BC,2020-03-29,962,46,17,0,81,0,1.767,0.0
NS,2020-03-29,124,12,0,0,3,0,0.0,0.0
NB,2020-03-29,66,15,0,0,0,0,0.0,0.0
YT,2020-03-29,7,0,0,0,0,0,0.0,0.0
MB,2020-03-29,73,10,1,0,0,0,1.37,0.0
NT,2020-03-29,1,0,0,0,0,0,0.0,0.0
NL,2020-03-29,135,15,0,0,7,5,0.0,0.0
PE,2020-03-29,11,0,0,0,0,0,0.0,0.0
NU,2020-03-29,0,0,0,0,0,0,0.0,0.0
AB,2020-03-29,699,34,3,1,41,3,0.429,2.941
NL,2020-03-30,148,13,1,1,9,2,0.676,7.692
NB,2020-03-30,68,2,0,0,0,0,0.0,0.0
NU,2020-03-30,0,0,0,0,0,0,0.0,0.0
MB,2020-03-30,96,23,1,0,4,4,1.042,0.0
BC,2020-03-30,1012,50,19,2,106,25,1.877,4.0
YT,2020-03-30,7,0,0,0,0,0,0.0,0.0
NS,2020-03-30,129,5,0,0,4,1,0.0,0.0
PE,2020-03-30,18,7,0,0,0,0,0.0,0.0
AB,2020-03-30,739,40,8,5,43,2,1.083,12.5
NT,2020-03-30,1,0,0,0,0,0,0.0,0.0
NL,2020-03-31,152,4,1,0,11,2,0.658,0.0
NT,2020-03-31,1,0,0,0,0,0,0.0,0.0
NU,2020-03-31,0,0,0,0,0,0,0.0,0.0
AB,2020-03-31,871,132,9,1,45,2,1.033,0.758
BC,2020-03-31,1069,57,24,5,128,22,2.245,8.772
PE,2020-03-31,21,3,0,0,0,0,0.0,0.0
NS,2020-03-31,148,19,0,0,4,0,0.0,0.0
YT,2020-03-31,9,2,0,0,0,0,0.0,0.0
NB,2020-03-31,70,2,0,0,1,1,0.0,0.0
NL,2020-04-01,175,23,1,0,15,4,0.571,0.0
BC,2020-04-01,1122,53,25,1,142,14,2.228,1.887
YT,2020-04-01,9,0,0,0,0,0,0.0,0.0
AB,2020-04-01,979,108,11,2,45,0,1.124,1.852
MB,2020-04-01,132,27,1,0,4,1,0.758,0.0
NU,2020-04-01,0,0,0,0,0,0,0.0,0.0
NT,2020-04-01,2,1,0,0,0,0,0.0,0.0
PE,2020-04-01,21,0,0,0,0,0,0.0,0.0
NS,2020-04-01,173,25,0,0,5,1,0.0,0.0
NB,2020-04-01,81,11,0,0,4,3,0.0,0.0
YT,2020-04-02,10,1,0,0,0,0,0.0,0.0
BC,2020-04-02,1168,46,31,6,149,7,2.654,13.043
MB,2020-04-02,165,33,1,0,5,1,0.606,0.0
NS,2020-04-02,193,20,0,0,5,0,0.0,0.0
NT,2020-04-02,2,0,0,0,0,0,0.0,0.0
ON,2020-04-02,3935,450,120,28,407,407,3.05,6.222
NU,2020-04-02,0,0,0,0,0,0,0.0,0.0
PE,2020-04-02,22,1,0,0,0,0,0.0,0.0
AB,2020-04-02,1101,122,13,2,46,1,1.181,1.639
AB,2020-04-03,1171,70,18,5,48,2,1.537,7.143
YT,2020-04-03,10,0,0,0,0,0,0.0,0.0
ON,2020-04-03,4400,465,142,22,446,39,3.227,4.731
MB,2020-04-03,181,16,2,1,9,4,1.105,6.25
NU,2020-04-03,0,0,0,0,0,0,0.0,0.0
PE,2020-04-03,22,0,0,0,0,0,0.0,0.0
NS,2020-04-03,207,14,0,0,5,0,0.0,0.0
NL,2020-04-03,195,12,1,0,11,0,0.513,0.0
NT,2020-04-03,4,2,0,0,0,0,0.0,0.0
NB,2020-04-03,95,4,0,0,4,1,0.0,0.0
NB,2020-04-04,98,3,0,0,4,0,0.0,0.0
PE,2020-04-04,22,0,0,0,0,0,0.0,0.0
MB,2020-04-04,191,10,2,0,10,1,1.047,0.0
NU,2020-04-04,0,0,0,0,0,0,0.0,0.0
YT,2020-04-04,11,1,0,0,0,0,0.0,0.0
BC,2020-04-04,1234,29,38,3,149,3,3.079,10.345
AB,2020-04-04,1231,60,20,2,50,2,1.625,3.333
NT,2020-04-04,4,0,0,0,0,0,0.0,0.0
ON,2020-04-04,4749,349,171,29,475,29,3.601,8.309
NL,2020-04-04,203,8,1,0,11,0,0.493,0.0
SK,2020-04-04,241,16,3,3,4,1,1.245,18.75
MB,2020-04-05,202,11,2,0,11,1,0.99,0.0
PE,2020-04-05,22,0,0,0,0,0,0.0,0.0
AB,2020-04-05,1273,42,23,3,52,2,1.807,7.143
NT,2020-04-05,4,0,0,0,0,0,0.0,0.0
SK,2020-04-05,245,4,3,0,4,0,1.224,0.0
YT,2020-04-05,11,0,0,0,0,0,0.0,0.0
NB,2020-04-05,101,3,0,0,4,0,0.0,0.0
NS,2020-04-05,262,26,0,0,6,2,0.0,0.0
ON,2020-04-05,5120,371,199,28,508,33,3.887,7.547
NU,2020-04-05,0,0,0,0,0,0,0.0,0.0
MB,2020-04-06,203,1,2,0,11,0,0.985,0.0
BC,2020-04-06,1298,49,39,1,140,3,3.005,2.041
YT,2020-04-06,11,0,0,0,0,0,0.0,0.0
ON,2020-04-06,5599,479,229,30,576,68,4.09,6.263
PE,2020-04-06,22,0,0,0,0,0,0.0,0.0
NT,2020-04-06,5,1,0,0,0,0,0.0,0.0
NB,2020-04-06,103,2,0,0,7,3,0.0,0.0
SK,2020-04-06,252,7,3,0,4,0,1.19,0.0
NU,2020-04-06,0,0,0,0,0,0,0.0,0.0
NS,2020-04-06,293,31,0,0,10,4,0.0,0.0
NU,2020-04-07,0,0,0,0,0,0,0.0,0.0
NB,2020-04-07,105,2,0,0,7,0,0.0,0.0
YT,2020-04-07,11,0,0,0,0,0,0.0,0.0
AB,2020-04-07,1359,53,26,2,51,2,1.913,3.774
NS,2020-04-07,310,17,1,1,11,1,0.323,5.882
NT,2020-04-07,5,0,0,0,0,0,0.0,0.0
PE,2020-04-07,22,0,0,0,0,0,0.0,0.0
ON,2020-04-07,6057,458,264,35,597,21,4.359,7.642
MB,2020-04-07,216,13,3,1,12,1,1.389,7.692
SK,2020-04-07,263,11,3,0,7,3,1.141,0.0
ON,2020-04-08,6550,493,302,38,603,6,4.611,7.708
YT,2020-04-08,11,0,0,0,0,0,0.0,0.0
NU,2020-04-08,0,0,0,0,0,0,0.0,0.0
NT,2020-04-08,5,0,0,0,0,0,0.0,0.0
SK,2020-04-08,270,7,3,0,8,1,1.111,0.0
PE,2020-04-08,24,2,0,0,0,0,0.0,0.0
MB,2020-04-08,219,3,3,0,12,0,1.37,0.0
AB,2020-04-08,1392,33,29,3,52,1,2.083,9.091
NS,2020-04-08,342,32,1,0,11,0,0.292,0.0
YT,2020-04-09,11,0,0,0,0,0,0.0,0.0
NL,2020-04-09,236,4,2,0,6,0,0.847,0.0
PE,2020-04-09,25,1,0,0,0,0,0.0,0.0
AB,2020-04-09,1437,45,32,3,55,3,2.227,6.667
ON,2020-04-09,7039,489,344,42,630,27,4.887,8.589
SK,2020-04-09,276,6,3,0,8,0,1.087,0.0
NT,2020-04-09,5,0,0,0,0,0,0.0,0.0
NU,2020-04-09,0,0,0,0,0,0,0.0,0.0
PE,2020-04-10,25,0,0,0,0,0,0.0,0.0
AB,2020-04-10,1486,49,39,7,57,2,2.624,14.286
NB,2020-04-10,112,1,0,0,5,0,0.0,0.0
ON,2020-04-10,7438,399,380,36,673,43,5.109,9.023
YT,2020-04-10,11,0,0,0,0,0,0.0,0.0
NT,2020-04-10,5,0,0,0,0,0,0.0,0.0
NU,2020-04-10,0,0,0,0,0,0,0.0,0.0
SK,2020-04-10,281,5,3,0,8,0,1.068,0.0
NL,2020-04-10,239,3,3,1,7,1,1.255,33.333
NU,2020-04-11,0,0,0,0,0,0,0.0,0.0
AB,2020-04-11,1551,65,40,1,58,1,2.579,1.538
SK,2020-04-11,288,7,4,1,8,0,1.389,14.286
YT,2020-04-11,11,0,0,0,0,0,0.0,0.0
NB,2020-04-11,112,0,0,0,5,0,0.0,0.0
NS,2020-04-11,428,21,2,0,8,0,0.467,0.0
BC,2020-04-11,1457,19,58,3,134,6,3.981,15.789
NT,2020-04-11,5,0,0,0,0,0,0.0,0.0
QC,2020-04-11,10598,563,552,68,758,758,5.209,12.078
ON,2020-04-11,7914,476,424,44,699,26,5.358,9.244
PE,2020-04-11,25,0,0,0,0,0,0.0,0.0
NL,2020-04-12,242,1,3,0,7,1,1.24,0.0
BC,2020-04-12,1475,18,58,0,134,0,3.932,0.0
AB,2020-04-12,1619,68,44,4,58,0,2.718,5.882
QC,2020-04-12,11250,652,622,70,790,32,5.529,10.736
YT,2020-04-12,11,0,0,0,0,0,0.0,0.0
NB,2020-04-12,114,2,0,0,7,2,0.0,0.0
PE,2020-04-12,25,0,0,0,0,0,0.0,0.0
NS,2020-04-12,445,17,2,0,9,1,0.449,0.0
NT,2020-04-12,5,0,0,0,0,0,0.0,0.0
ON,2020-04-12,8464,550,471,47,717,18,5.565,8.545
MB,2020-04-12,239,0,4,0,8,0,1.674,0.0
NU,2020-04-12,0,0,0,0,0,0,0.0,0.0
QC,2020-04-13,12069,819,710,88,830,40,5.883,10.745
SK,2020-04-13,293,1,4,0,8,1,1.365,0.0
YT,2020-04-13,11,0,0,0,0,0,0.0,0.0
NU,2020-04-13,0,0,0,0,0,0,0.0,0.0
ON,2020-04-13,9063,599,521,50,739,22,5.749,8.347
BC,2020-04-13,1503,28,69,11,137,3,4.591,39.286
NL,2020-04-13,244,2,3,0,8,1,1.23,0.0
NS,2020-04-13,474,29,3,1,9,0,0.633,3.448
NT,2020-04-13,5,0,0,0,0,0,0.0,0.0
MB,2020-04-13,241,2,4,0,8,0,1.66,0.0
PE,2020-04-13,25,0,0,0,0,0,0.0,0.0
PE,2020-04-14,25,0,0,0,0,0,0.0,0.0
NS,2020-04-14,517,43,3,0,10,1,0.58,0.0
ON,2020-04-14,9621,558,565,44,758,19,5.873,7.885
QC,2020-04-14,12928,859,805,95,891,61,6.227,11.059
NL,2020-04-14,244,0,3,0,8,0,1.23,0.0
NB,2020-04-14,116,0,0,0,5,0,0.0,0.0
MB,2020-04-14,241,0,4,0,9,1,1.66,0.0
AB,2020-04-14,1813,126,48,2,58,1,2.648,1.587
YT,2020-04-14,11,0,0,0,0,0,0.0,0.0
NU,2020-04-14,0,0,0,0,0,0,0.0,0.0
NT,2020-04-14,5,0,0,0,0,0,0.0,0.0
NT,2020-04-15,5,0,0,0,0,0,0.0,0.0
NU,2020-04-15,0,0,0,0,0,0,0.0,0.0
NB,2020-04-15,117,1,0,0,5,0,0.0,0.0
MB,2020-04-15,244,3,5,1,9,0,2.049,33.333
PE,2020-04-15,26,1,0,0,0,0,0.0,0.0
SK,2020-04-15,297,1,4,0,8,1,1.347,0.0
YT,2020-04-15,11,0,0,0,0,0,0.0,0.0
QC,2020-04-15,13979,1051,896,91,927,36,6.41,8.658
NL,2020-04-15,247,3,3,0,8,0,1.215,0.0
ON,2020-04-15,10240,619,625,60,771,13,6.104,9.693
QC,2020-04-16,14861,882,996,100,975,48,6.702,11.338
ON,2020-04-16,10819,579,681,56,783,12,6.294,9.672
